Index Holdings and weightings as of 5:38 PM ET 01/08/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
AAPL,Apple Inc.,14.88%,242.70,+0.49,+0.20%,37.63 M,164.08 - 260.10
NVDA,Nvidia Corp,13.94%,140.11,-0.03,-0.02%,227.35 M,51.69 - 153.13
MSFT,Microsoft Corp,12.81%,424.56,+2.19,+0.52%,15.05 M,371.19 - 468.35
AVGO,Broadcom Inc,5.76%,229.31,+0.67,+0.29%,18.76 M,106.26 - 251.88
CRM,"Salesforce, Inc.",3.33%,326.90,+1.97,+0.61%,3.79 M,212.00 - 369.00
ORCL,Oracle Corp,2.80%,163.14,+1.11,+0.69%,7.6 M,102.72 - 198.31
CSCO,Cisco Systems Inc,2.52%,59.20,+0.27,+0.46%,14.4 M,44.50 - 60.23
ACN,Accenture plc A,2.38%,357.73,+1.34,+0.38%,2.22 M,278.69 - 387.51
NOW,ServiceNow Inc.,2.31%,1049.08,-5.07,-0.48%,1.42 M,637.99 - 1157.90
IBM,Intl Business Machines Corp,2.20%,223.18,-0.78,-0.35%,2.62 M,159.51 - 239.35
AMD,Advanced Micro Devices,2.11%,121.84,-5.49,-4.31%,46.72 M,117.90 - 227.30
ADBE,Adobe Inc.,1.97%,419.58,-3.05,-0.72%,3.51 M,415.51 - 638.25
QCOM,QUALCOMM Inc,1.89%,159.08,-1.44,-0.90%,7.73 M,136.03 - 230.63
INTU,Intuit Inc,1.87%,626.05,+10.62,+1.73%,1.23 M,557.29 - 714.78
TXN,Texas Instruments Inc,1.87%,191.66,-0.55,-0.29%,4.23 M,155.46 - 220.39
AMAT,Applied Materials Inc,1.56%,176.99,-0.83,-0.47%,4.58 M,148.24 - 255.89
PLTR,Palantir Technologies Inc. Class A,1.49%,68.23,-1.76,-2.51%,91.35 M,16.03 - 84.80
ANET,Arista Networks Inc,1.27%,115.51,+0.22,+0.19%,5.37 M,60.08 - 120.28
PANW,Palo Alto Networks Inc.,1.21%,172.83,-2.68,-1.53%,11.02 M,130.05 - 207.24
MU,Micron Technology Inc,1.18%,99.41,-2.50,-2.45%,33.52 M,79.15 - 157.54
ADI,Analog Devices Inc,1.17%,220.44,+4.57,+2.12%,3.1 M,182.57 - 244.14
LRCX,Lam Research Corp,1.06%,77.04,-0.48,-0.62%,8.69 M,68.87 - 113.00
KLAC,KLA Corporation,0.98%,686.20,-3.10,-0.45%,1.09 M,549.63 - 896.32
APH,Amphenol Corp A,0.92%,71.83,+0.37,+0.52%,7.3 M,47.38 - 75.78
INTC,Intel Corp,0.91%,19.88,-0.13,-0.65%,47.9 M,18.51 - 50.30
CRWD,"CrowdStrike Holdings, Inc.",0.89%,358.72,-1.21,-0.34%,2.55 M,200.81 - 398.33
CDNS,Cadence Design Systems Inc,0.89%,302.73,+1.06,+0.35%,1.12 M,241.29 - 328.99
MSI,Motorola Solutions Inc,0.83%,462.73,+7.58,+1.67%,0.72 M,309.44 - 507.82
SNPS,Synopsys Inc,0.82%,502.00,+14.38,+2.95%,1.27 M,457.52 - 629.38
ADSK,Autodesk Inc,0.68%,296.37,+5.55,+1.91%,1.37 M,195.32 - 326.62
FTNT,Fortinet Inc,0.65%,96.04,+0.11,+0.11%,4.76 M,54.57 - 101.00
ROP,"Roper Technologies, Inc",0.58%,510.30,+3.20,+0.63%,0.96 M,504.31 - 580.09
WDAY,Workday Inc. A,0.58%,254.69,+5.01,+2.01%,2.24 M,199.81 - 311.28
